PID,차량번호,이전차량번호,차량명,세부 모델,색상,주행거리,최초등록일,홈페이지상태,경과일수(매입일기준),매입유형1,매입유형2,매입유형3,매입담당자,최종수정일,신차가,매입가,지점판매가,할인,할인적용가,예상매출이익,신차가대비,담당자명,RB상담수,E상담수,E URL,RB조회수,RB찜수,E조회수,E찜수,자사몰광고,E광고,지점
C26062400030,220호9298,220호9298,더 뉴쏘렌토(MQ4),2.5 가솔린 2WD 시그니처 그래비티,진회색,47265,2023-10-13,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,43220000,,32300000,0,32300000,,75.0,김철관,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42409507,16,1,,,O,O,동대구지점
C26062200041,198두3907,198두3907,S8(4세대),4.0 TFSI 콰트로 LWB ,진회색,59973,2022-08-31,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,205020000,,80000000,0,80000000,,39.0,신민식,0,0,javascript:;,12,1,,,O,X,천안지점
C26062200052,251라3676,251라3676,C클래스(5세대),C300 AMG 라인,청색,61794,2022-06-23,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,68000000,,38800000,0,38800000,,57.0,심왕신,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42423968,9,0,,,O,O,서울지점
C26061900130,221호4618,221호4618,더 뉴K5 하이브리드(DL3),2.0 HEV 프레스티지,흰색,46620,2024-01-22,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,34000000,,22100000,0,22100000,,65.0,김시호,1,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42447161,14,0,,,O,O,제주지점
C26061800029,259누7410,259누7410,X7,40d xDrive 디자인퓨어 엑셀런스 7인승,흰색,51078,2022-05-27,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,132100000,,83300000,0,83300000,,63.0,유웅현,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42424112,20,0,,,O,O,천안지점
C26052100033,309마2405,309마2405,X6(3세대),40i xDrive M 스포츠팩,,88452,2022-05-09,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,121000000,,59800000,0,59800000,,49.0,김나현,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42392366,19,3,,,O,O,청라지점
C26060100060,138보2921,138보2921,GLS클래스(3세대),GLS 580 4매틱 ,,54353,2022-10-28,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,179400000,,90000000,0,90000000,,50.0,이찬희,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42434691,6,0,,,O,O,동대구지점
C26060100062,217다3353,217다3353,에미라,2.0 I4,흰색,10973,2025-09-09,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,149900000,,109500000,0,109500000,,73.0,이순민,0,0,javascript:;,2,0,,,X,X,일산지점
C26060100064,389어3080,389어3080,A7(2세대),45 TDI 콰트로 프리미엄,흰색,24963,2022-05-23,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,92353000,,52300000,0,52300000,,57.0,강승원,0,0,javascript:;,1,0,,,X,X,청라지점
C26071010144,393오8603,393오8603,디 올뉴그랜저 하이브리드,1.6 HEV 캘리그래피,검정색,43796,2025-01-16,계약중,29,선물,선물,현대캐피탈,박종만,2026-07-28,54320000,34767653.0,34200000,0,34200000,-516049.0,63.0,박선우,1,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42451087,34,2,,,O,O,부산지점
C26080500076,129로9098,126하8430,쏘나타(DN8),1.6 터보 프리미엄 플러스,흰색,31252,2022-06-24,계약중,29,위탁매입,위탁매입,하나캐피탈,김영욱,2026-07-16,31430000,21300000.0,21300000,0,21300000,0.0,68.0,강현구,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42448285,4,0,,,O,O,부산지점
C26070710077,196부1261,196부1261,X7,40i xDrive M스포츠 팩,,74661,2022-07-14,계약중,29,선물,선물,MG캐피탈,박종만,2026-08-12,135800000,66825000.0,71560000,0,71560000,4304545.0,53.0,김민식,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42505481,28,0,,,O,O,일산지점
C26080700067,129로9078,228호3465,더 뉴셀토스,1.6 가솔린 터보 2WD 트렌디,흰색,23089,2024-10-24,계약중,29,위탁매입,위탁매입,하나캐피탈,김영욱,2026-07-16,24040000,21300000.0,21300000,0,21300000,0.0,89.0,박선우,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42408945,2,0,,,O,O,부산지점
C26061910126,340모8720,143호2399,더 올뉴G80,가솔린 2.5 AWD 기본형,검정,128173,2023-06-26,판매중,30,선물,선물,BNK캐피탈,박종만,2026-07-24,60200000,29451200.0,29900000,0,29900000,408000.0,50.0,김동기,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42449012,0,0,,,X,O,중앙특판지점
C26071100002,35거5782,35거5782,G80,3.3 GDi 프레스티지,,189461,2018-09-03,판매중,30,현물,대차,지점대차,함세진,2026-07-15,62630000,10000000.0,12500000,0,12500000,2272727.0,20.0,함세진,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42402382,8,0,,,O,O,일산지점
C26071310041,119너8548,119너8548,신형 카니발(KA4),9인승 가솔린 시그니처,,79964,2023-07-27,판매중,30,선물,선물,현대캐피탈,박종만,2026-07-23,47250000,28917000.0,30700000,0,30700000,1620909.0,65.0,이순민,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42460009,3,0,,,O,O,일산지점
